,genome,scaffold,p1_id,p2_id,p1_start,p1_end,p2_start,p2_end,length
501,I19A,NODE_5720_length_148927_cov_12.616034,atg7465|pair_39|fwd,atg7465|pair_39|rev|var_0,79438,79459,80408,80386,970
503,I61A,NODE_9417_length_112597_cov_9.223985,atg7465|pair_39|fwd,atg7465|pair_39|rev|var_0,16015,16036,16985,16963,970
504,I9A,NODE_17114_length_106818_cov_13.533281,atg7465|pair_39|fwd,atg7465|pair_39|rev|var_1,48326,48347,49296,49274,970
507,I5V,NODE_36160_length_249094_cov_15.165792,atg7465|pair_39|fwd,atg7465|pair_39|rev|var_0,11233,11254,12203,12181,970
508,I17V,NODE_17153_length_617906_cov_9.525179,atg7465|pair_39|fwd,atg7465|pair_39|rev|var_1,320549,320570,321519,321497,970
511,I31A,NODE_32761_length_67348_cov_8.091139,atg7465|pair_39|fwd,atg7465|pair_39|rev|var_0,16325,16346,17295,17273,970
513,I65V,NODE_36919_length_337138_cov_9.006107,atg7465|pair_39|fwd,atg7465|pair_39|rev|var_0,295923,295902,294953,294975,970
514,B04,B04S209,atg7465|pair_39|fwd,atg7465|pair_39|rev|var_1,28605,28584,27635,27657,970
517,MNH120,scaffold_893,atg7465|pair_39|fwd,atg7465|pair_39|rev|var_0,100403,100382,99433,99455,970
519,I37A,NODE_28325_length_1062677_cov_11.556614,atg7465|pair_39|fwd,atg7465|pair_39|rev|var_0,989089,989110,990059,990037,970
