,genome,scaffold,p1_id,p2_id,p1_start,p1_end,p2_start,p2_end,length
30,I19A,NODE_5720_length_148927_cov_12.616034,atg161|pair_3|fwd,atg161|pair_3|rev,97966,97945,97316,97337,650
31,I61A,NODE_9417_length_112597_cov_9.223985,atg161|pair_3|fwd,atg161|pair_3|rev,34543,34522,33893,33914,650
32,I9A,NODE_17114_length_106818_cov_13.533281,atg161|pair_3|fwd,atg161|pair_3|rev,66854,66833,66204,66225,650
33,I5V,NODE_36160_length_249094_cov_15.165792,atg161|pair_3|fwd,atg161|pair_3|rev,46267,46246,45617,45638,650
34,I17V,NODE_17153_length_617906_cov_9.525179,atg161|pair_3|fwd,atg161|pair_3|rev,355584,355563,354934,354955,650
35,I31A,NODE_32761_length_67348_cov_8.091139,atg161|pair_3|fwd,atg161|pair_3|rev,34853,34832,34203,34224,650
36,I65V,NODE_36919_length_337138_cov_9.006107,atg161|pair_3|fwd,atg161|pair_3|rev,260888,260909,261538,261517,650
37,B04,B04S209,atg161|pair_3|fwd,atg161|pair_3|rev,10120,10141,10770,10749,650
38,MNH120,scaffold_48,atg161|pair_3|fwd,atg161|pair_3|rev,6150,6129,5500,5521,650
39,I37A,NODE_28325_length_1062677_cov_11.556614,atg161|pair_3|fwd,atg161|pair_3|rev,1007617,1007596,1006967,1006988,650
