,genome,scaffold,p1_id,p2_id,p1_start,p1_end,p2_start,p2_end,length
320,I19A,NODE_4902_length_96281_cov_13.126432,atg10719|pair_10|rev|var_1,atg10719|pair_10|fwd|var_0,31592,31614,31859,31838,267
321,I19A,NODE_4902_length_96281_cov_13.126432,atg10719|pair_10|rev|var_1,atg10719|pair_10|fwd|var_1,31592,31614,31852,31838,260
322,I19A,NODE_4902_length_96281_cov_13.126432,atg10719|pair_10|fwd|var_0,atg10719|pair_10|rev|var_0,31859,31838,31592,31614,267
323,I19A,NODE_4902_length_96281_cov_13.126432,atg10719|pair_10|rev|var_0,atg10719|pair_10|fwd|var_1,31592,31614,31852,31838,260
324,I61A,NODE_12812_length_323635_cov_9.417337,atg10719|pair_10|rev|var_1,atg10719|pair_10|fwd|var_0,214110,214088,213843,213864,267
325,I61A,NODE_12812_length_323635_cov_9.417337,atg10719|pair_10|rev|var_1,atg10719|pair_10|fwd|var_1,214110,214088,213850,213864,260
326,I61A,NODE_12812_length_323635_cov_9.417337,atg10719|pair_10|fwd|var_0,atg10719|pair_10|rev|var_0,213843,213864,214110,214088,267
327,I61A,NODE_12812_length_323635_cov_9.417337,atg10719|pair_10|rev|var_0,atg10719|pair_10|fwd|var_1,214110,214088,213850,213864,260
328,I9A,NODE_13661_length_107724_cov_12.738434,atg10719|pair_10|rev|var_1,atg10719|pair_10|fwd|var_0,73833,73811,73566,73587,267
329,I9A,NODE_13661_length_107724_cov_12.738434,atg10719|pair_10|rev|var_1,atg10719|pair_10|fwd|var_1,73833,73811,73573,73587,260
